"","Latitude","Longitude","Concatenated place name"
"81",61.4280700683594,21.8717994689941,"Ulvila , Satakunta"
"82",64.2594299316406,23.9445991516113,"Kalajoki , North Ostrobothnia"
"83",62.7276306152344,22.5885696411133,"Ilmajoki , South Ostrobothnia"
"84",62.5255508422852,29.3835105895996,"Liperi , North Karelia"
"85",61.2259292602539,21.6178798675537,"Eura , Satakunta"
"86",60.1142082214355,19.9379100799561,"Mariehamn , Aland"
"87",62.5866813659668,23.6158790588379,"Alavus , South Ostrobothnia"
"88",61.98258,22.23736,"Kankaanpaa , Satakunta"
"89",63.3145294189453,30.0308895111084,"Lieksa , North Karelia"
"90",63.5953216552734,22.8081798553467,"Pedersore , Ostrobothnia"
"91",60.4436683654785,22.7084197998047,"Paimio , Southwest Finland"
"92",63.9296112060547,24.9598693847656,"Nivala , North Ostrobothnia"
